country,population,netMigration,population_in_millions
United States,258734856.40625,67104784,258.21875
Germany,79807685.421875,13307249,79.328125
Russian Federation,140176643.484375,12488328,139.65625
Canada,28226290.96875,10187120,27.765625
Australia,17631488.421875,7818329,17.15625
Spain,39757145.890625,7158047,39.21875
Saudi Arabia,18049646.640625,6801678,17.5625
United Arab Emirates,3434973.734375,6583164,2.96875
United Kingdom,58899425.4375,5758559,58.453125
France,58527398.109375,5171494,58.03125
